"COUNTRY","Country","INDICATOR","Indicator","YEAR","Year","Value","Flag Codes","Flags"
"ALB","Albania","IND-EQUI-RAILTONS-GDP","Rail freight loading capacity per one million units of current USD GDP","1999","1999",10.863921551388,,
"ALB","Albania","IND-EQUI-RAILTONS-GDP","Rail freight loading capacity per one million units of current USD GDP","2000","2000",10.035593812704,,
"ALB","Albania","IND-EQUI-RAILTONS-GDP","Rail freight loading capacity per one million units of current USD GDP","2004","2004",4.2463219173361,,
"ALB","Albania","IND-EQUI-RAILTONS-GDP","Rail freight loading capacity per one million units of current USD GDP","2005","2005",4.5858974075675,,
"ALB","Albania","IND-EQUI-RAILTONS-GDP","Rail freight loading capacity per one million units of current USD GDP","2006","2006",4.1508193237034,,
"ALB","Albania","IND-EQUI-RAILTONS-GDP","Rail freight loading capacity per one million units of current USD GDP","2007","2007",3.0000960335595,,
"ALB","Albania","IND-EQUI-RAILTONS-PC","Rail freight loading capacity per one thousand inhabitants","1999","1999",11.258443028097,,
"ALB","Albania","IND-EQUI-RAILTONS-PC","Rail freight loading capacity per one thousand inhabitants","2000","2000",11.330428643065,,
"ALB","Albania","IND-EQUI-RAILTONS-PC","Rail freight loading capacity per one thousand inhabitants","2004","2004",10.068257074226,,
"ALB","Albania","IND-EQUI-RAILTONS-PC","Rail freight loading capacity per one thousand inhabitants","2005","2005",12.261716553981,,
"ALB","Albania","IND-EQUI-RAILTONS-PC","Rail freight loading capacity per one thousand inhabitants","2006","2006",12.339321654764,,
"ALB","Albania","IND-EQUI-RAILTONS-PC","Rail freight loading capacity per one thousand inhabitants","2007","2007",10.785460150565,,
"ALB","Albania","IND-EQUI-AIRSEATS-GDP","Available seat capacity for scheduled flight per one thousand units of current USD GDP","2004","2004",0.07149066671768,,
"ALB","Albania","IND-EQUI-AIRSEATS-GDP","Available seat capacity for scheduled flight per one thousand units of current USD GDP","2005","2005",0.07998072835793,,
"ALB","Albania","IND-EQUI-AIRSEATS-GDP","Available seat capacity for scheduled flight per one thousand units of current USD GDP","2006","2006",0.08947586439253,,
"ALB","Albania","IND-EQUI-AIRSEATS-GDP","Available seat capacity for scheduled flight per one thousand units of current USD GDP","2007","2007",0.0986904503282,,
"ALB","Albania","IND-EQUI-AIRSEATS-GDP","Available seat capacity for scheduled flight per one thousand units of current USD GDP","2008","2008",0.07739513150698,,
"ALB","Albania","IND-EQUI-AIRSEATS-GDP","Available seat capacity for scheduled flight per one thousand units of current USD GDP","2009","2009",0.08438912752588,,
"ALB","Albania","IND-EQUI-AIRSEATS-GDP","Available seat capacity for scheduled flight per one thousand units of current USD GDP","2010","2010",0.10592779151289,,
"ALB","Albania","IND-EQUI-AIRSEATS-GDP","Available seat capacity for scheduled flight per one thousand units of current USD GDP","2011","2011",0.10088993763762,,
"ALB","Albania","IND-EQUI-AIRSEATS-GDP","Available seat capacity for scheduled flight per one thousand units of current USD GDP","2012","2012",0.1010971394919,,
"ALB","Albania","IND-EQUI-AIRSEATS-GDP","Available seat capacity for scheduled flight per one thousand units of current USD GDP","2013","2013",0.09920661587484,,
"ALB","Albania","IND-EQUI-AIRSEATS-GDP","Available seat capacity for scheduled flight per one thousand units of current USD GDP","2014","2014",0.08718265339836,,
"ALB","Albania","IND-EQUI-AIRSEATS-GDP","Available seat capacity for scheduled flight per one thousand units of current USD GDP","2015","2015",0.10215658227748,,
"ALB","Albania","IND-EQUI-AIRSEATS-GDP","Available seat capacity for scheduled flight per one thousand units of current USD GDP","2016","2016",0.09323078742209,,
"ALB","Albania","IND-EQUI-AIRSEATS-PC","Available seat capacity for scheduled flight per one thousand inhabitants","2004","2004",169.50820614489,,
"ALB","Albania","IND-EQUI-AIRSEATS-PC","Available seat capacity for scheduled flight per one thousand inhabitants","2005","2005",213.85149595532,,
"ALB","Albania","IND-EQUI-AIRSEATS-PC","Available seat capacity for scheduled flight per one thousand inhabitants","2006","2006",265.98880485419,,
"ALB","Albania","IND-EQUI-AIRSEATS-PC","Available seat capacity for scheduled flight per one thousand inhabitants","2007","2007",354.79594897942,,
"ALB","Albania","IND-EQUI-AIRSEATS-PC","Available seat capacity for scheduled flight per one thousand inhabitants","2008","2008",338.25849570151,,
"ALB","Albania","IND-EQUI-AIRSEATS-PC","Available seat capacity for scheduled flight per one thousand inhabitants","2009","2009",347.18818221163,,
"ALB","Albania","IND-EQUI-AIRSEATS-PC","Available seat capacity for scheduled flight per one thousand inhabitants","2010","2010",433.70542127915,,
"ALB","Albania","IND-EQUI-AIRSEATS-PC","Available seat capacity for scheduled flight per one thousand inhabitants","2011","2011",447.66289354071,,
"ALB","Albania","IND-EQUI-AIRSEATS-PC","Available seat capacity for scheduled flight per one thousand inhabitants","2012","2012",429.42337973266,,
"ALB","Albania","IND-EQUI-AIRSEATS-PC","Available seat capacity for scheduled flight per one thousand inhabitants","2013","2013",437.80508529608,,
"ALB","Albania","IND-EQUI-AIRSEATS-PC","Available seat capacity for scheduled flight per one thousand inhabitants","2014","2014",399.17739202189,,
"ALB","Albania","IND-EQUI-AIRSEATS-PC","Available seat capacity for scheduled flight per one thousand inhabitants","2015","2015",403.8049045667,,
"ALB","Albania","IND-EQUI-AIRSEATS-PC","Available seat capacity for scheduled flight per one thousand inhabitants","2016","2016",384.48893136924,,
"ARM","Armenia","IND-EQUI-RAILTONS-GDP","Rail freight loading capacity per one million units of current USD GDP","1995","1995",266.66453160898,,
"ARM","Armenia","IND-EQUI-RAILTONS-GDP","Rail freight loading capacity per one million units of current USD GDP","1996","1996",214.28171195289,,
"ARM","Armenia","IND-EQUI-RAILTONS-GDP","Rail freight loading capacity per one million units of current USD GDP","1997","1997",175.93556104471,,
"ARM","Armenia","IND-EQUI-RAILTONS-GDP","Rail freight loading capacity per one million units of current USD GDP","2000","2000",147.00002818344,,
"ARM","Armenia","IND-EQUI-RAILTONS-GDP","Rail freight loading capacity per one million units of current USD GDP","2001","2001",133.11944656957,,
"ARM","Armenia","IND-EQUI-RAILTONS-PC","Rail freight loading capacity per one thousand inhabitants","1995","1995",103.25684923055,,
"ARM","Armenia","IND-EQUI-RAILTONS-PC","Rail freight loading capacity per one thousand inhabitants","1996","1996",103.73160976787,,
"ARM","Armenia","IND-EQUI-RAILTONS-PC","Rail freight loading capacity per one thousand inhabitants","1997","1997",88.126922331539,,
"ARM","Armenia","IND-EQUI-RAILTONS-PC","Rail freight loading capacity per one thousand inhabitants","2000","2000",88.684854110259,,
"ARM","Armenia","IND-EQUI-RAILTONS-PC","Rail freight loading capacity per one thousand inhabitants","2001","2001",90.005754623248,,
"ARM","Armenia","IND-EQUI-AIRSEATS-GDP","Available seat capacity for scheduled flight per one thousand units of current USD GDP","2004","2004",0.1831815779551,,
"ARM","Armenia","IND-EQUI-AIRSEATS-GDP","Available seat capacity for scheduled flight per one thousand units of current USD GDP","2005","2005",0.18780343335865,,
"ARM","Armenia","IND-EQUI-AIRSEATS-GDP","Available seat capacity for scheduled flight per one thousand units of current USD GDP","2006","2006",0.14344864521688,,
"ARM","Armenia","IND-EQUI-AIRSEATS-GDP","Available seat capacity for scheduled flight per one thousand units of current USD GDP","2007","2007",0.10542692142575,,
"ARM","Armenia","IND-EQUI-AIRSEATS-GDP","Available seat capacity for scheduled flight per one thousand units of current USD GDP","2008","2008",0.08836515204892,,
"ARM","Armenia","IND-EQUI-AIRSEATS-GDP","Available seat capacity for scheduled flight per one thousand units of current USD GDP","2009","2009",0.1212205857898,,
"ARM","Armenia","IND-EQUI-AIRSEATS-GDP","Available seat capacity for scheduled flight per one thousand units of current USD GDP","2010","2010",0.13049662084363,,
"ARM","Armenia","IND-EQUI-AIRSEATS-GDP","Available seat capacity for scheduled flight per one thousand units of current USD GDP","2011","2011",0.12148367349862,,
"ARM","Armenia","IND-EQUI-AIRSEATS-GDP","Available seat capacity for scheduled flight per one thousand units of current USD GDP","2012","2012",0.12620694287042,,
"ARM","Armenia","IND-EQUI-AIRSEATS-GDP","Available seat capacity for scheduled flight per one thousand units of current USD GDP","2013","2013",0.11051503223958,,
"ARM","Armenia","IND-EQUI-AIRSEATS-GDP","Available seat capacity for scheduled flight per one thousand units of current USD GDP","2014","2014",0.12392759025501,,
"ARM","Armenia","IND-EQUI-AIRSEATS-GDP","Available seat capacity for scheduled flight per one thousand units of current USD GDP","2015","2015",0.12289505538761,,
"ARM","Armenia","IND-EQUI-AIRSEATS-GDP","Available seat capacity for scheduled flight per one thousand units of current USD GDP","2016","2016",0.11838639019452,,
"ARM","Armenia","IND-EQUI-AIRSEATS-PC","Available seat capacity for scheduled flight per one thousand inhabitants","2004","2004",213.70629325009,,
"ARM","Armenia","IND-EQUI-AIRSEATS-PC","Available seat capacity for scheduled flight per one thousand inhabitants","2005","2005",302.01860959043,,
"ARM","Armenia","IND-EQUI-AIRSEATS-PC","Available seat capacity for scheduled flight per one thousand inhabitants","2006","2006",302.60870197318,,
"ARM","Armenia","IND-EQUI-AIRSEATS-PC","Available seat capacity for scheduled flight per one thousand inhabitants","2007","2007",323.05760265052,,
"ARM","Armenia","IND-EQUI-AIRSEATS-PC","Available seat capacity for scheduled flight per one thousand inhabitants","2008","2008",345.41487775275,,
"ARM","Armenia","IND-EQUI-AIRSEATS-PC","Available seat capacity for scheduled flight per one thousand inhabitants","2009","2009",353.64484518415,,
"ARM","Armenia","IND-EQUI-AIRSEATS-PC","Available seat capacity for scheduled flight per one thousand inhabitants","2010","2010",410.15472663445,,
"ARM","Armenia","IND-EQUI-AIRSEATS-PC","Available seat capacity for scheduled flight per one thousand inhabitants","2011","2011",420.65930209056,,
"ARM","Armenia","IND-EQUI-AIRSEATS-PC","Available seat capacity for scheduled flight per one thousand inhabitants","2012","2012",459.86218188793,,
"ARM","Armenia","IND-EQUI-AIRSEATS-PC","Available seat capacity for scheduled flight per one thousand inhabitants","2013","2013",423.62147732893,,
"ARM","Armenia","IND-EQUI-AIRSEATS-PC","Available seat capacity for scheduled flight per one thousand inhabitants","2014","2014",497.84562255833,,
"ARM","Armenia","IND-EQUI-AIRSEATS-PC","Available seat capacity for scheduled flight per one thousand inhabitants","2015","2015",450.55070268655,,
"ARM","Armenia","IND-EQUI-AIRSEATS-PC","Available seat capacity for scheduled flight per one thousand inhabitants","2016","2016",435.6562746983,,
"AUS","Australia","IND-EQUI-AIRSEATS-GDP","Available seat capacity for scheduled flight per one thousand units of current USD GDP","2004","2004",0.02189478003705,,
"AUS","Australia","IND-EQUI-AIRSEATS-GDP","Available seat capacity for scheduled flight per one thousand units of current USD GDP","2005","2005",0.02167435992533,,
"AUS","Australia","IND-EQUI-AIRSEATS-GDP","Available seat capacity for scheduled flight per one thousand units of current USD GDP","2006","2006",0.02027858373613,,
"AUS","Australia","IND-EQUI-AIRSEATS-GDP","Available seat capacity for scheduled flight per one thousand units of current USD GDP","2007","2007",0.01686262315466,,
"AUS","Australia","IND-EQUI-AIRSEATS-GDP","Available seat capacity for scheduled flight per one thousand units of current USD GDP","2008","2008",0.01666893307017,,
"AUS","Australia","IND-EQUI-AIRSEATS-GDP","Available seat capacity for scheduled flight per one thousand units of current USD GDP","2009","2009",0.01758303831363,,
"AUS","Australia","IND-EQUI-AIRSEATS-GDP","Available seat capacity for scheduled flight per one thousand units of current USD GDP","2010","2010",0.01553212067692,,
"AUS","Australia","IND-EQUI-AIRSEATS-GDP","Available seat capacity for scheduled flight per one thousand units of current USD GDP","2011","2011",0.01370615481342,,
"AUS","Australia","IND-EQUI-AIRSEATS-GDP","Available seat capacity for scheduled flight per one thousand units of current USD GDP","2012","2012",0.01330653174767,,
"AUS","Australia","IND-EQUI-AIRSEATS-GDP","Available seat capacity for scheduled flight per one thousand units of current USD GDP","2013","2013",0.01456762885565,,
"AUS","Australia","IND-EQUI-AIRSEATS-GDP","Available seat capacity for scheduled flight per one thousand units of current USD GDP","2014","2014",0.01574659347403,,
"AUS","Australia","IND-EQUI-AIRSEATS-GDP","Available seat capacity for scheduled flight per one thousand units of current USD GDP","2015","2015",0.01886219201241,,
"AUS","Australia","IND-EQUI-AIRSEATS-GDP","Available seat capacity for scheduled flight per one thousand units of current USD GDP","2016","2016",0.02033218624101,,
"AUS","Australia","IND-EQUI-AIRSEATS-PC","Available seat capacity for scheduled flight per one thousand inhabitants","2004","2004",697.64872053099,,
"AUS","Australia","IND-EQUI-AIRSEATS-PC","Available seat capacity for scheduled flight per one thousand inhabitants","2005","2005",758.75815860994,,
"AUS","Australia","IND-EQUI-AIRSEATS-PC","Available seat capacity for scheduled flight per one thousand inhabitants","2006","2006",745.86144243749,,
"AUS","Australia","IND-EQUI-AIRSEATS-PC","Available seat capacity for scheduled flight per one thousand inhabitants","2007","2007",737.28167334706,,
"AUS","Australia","IND-EQUI-AIRSEATS-PC","Available seat capacity for scheduled flight per one thousand inhabitants","2008","2008",775.87931667448,,
"AUS","Australia","IND-EQUI-AIRSEATS-PC","Available seat capacity for scheduled flight per one thousand inhabitants","2009","2009",797.35965719164,,
"AUS","Australia","IND-EQUI-AIRSEATS-PC","Available seat capacity for scheduled flight per one thousand inhabitants","2010","2010",843.28616655509,,
"AUS","Australia","IND-EQUI-AIRSEATS-PC","Available seat capacity for scheduled flight per one thousand inhabitants","2011","2011",897.63609922711,,
"AUS","Australia","IND-EQUI-AIRSEATS-PC","Available seat capacity for scheduled flight per one thousand inhabitants","2012","2012",909.1881945845,,
"AUS","Australia","IND-EQUI-AIRSEATS-PC","Available seat capacity for scheduled flight per one thousand inhabitants","2013","2013",934.30008973056,,
"AUS","Australia","IND-EQUI-AIRSEATS-PC","Available seat capacity for scheduled flight per one thousand inhabitants","2014","2014",966.57047636435,,
"AUS","Australia","IND-EQUI-AIRSEATS-PC","Available seat capacity for scheduled flight per one thousand inhabitants","2015","2015",965.86415978001,,
"AUS","Australia","IND-EQUI-AIRSEATS-PC","Available seat capacity for scheduled flight per one thousand inhabitants","2016","2016",1035.6286351727,,
"AUT","Austria","IND-EQUI-RAILTONS-GDP","Rail freight loading capacity per one million units of current USD GDP","1995","1995",3.5777726483672,,
"AUT","Austria","IND-EQUI-RAILTONS-GDP","Rail freight loading capacity per one million units of current USD GDP","1996","1996",3.2688374112389,,
"AUT","Austria","IND-EQUI-RAILTONS-GDP","Rail freight loading capacity per one million units of current USD GDP","1997","1997",3.5990433579086,,
"AUT","Austria","IND-EQUI-RAILTONS-GDP","Rail freight loading capacity per one million units of current USD GDP","1998","1998",3.5371345763006,,
"AUT","Austria","IND-EQUI-RAILTONS-GDP","Rail freight loading capacity per one million units of current USD GDP","1999","1999",3.4998710541056,,
"AUT","Austria","IND-EQUI-RAILTONS-GDP","Rail freight loading capacity per one million units of current USD GDP","2000","2000",4.0070581414353,,
"AUT","Austria","IND-EQUI-RAILTONS-GDP","Rail freight loading capacity per one million units of current USD GDP","2001","2001",3.9836205105808,,
"AUT","Austria","IND-EQUI-RAILTONS-GDP","Rail freight loading capacity per one million units of current USD GDP","2002","2002",3.7498659014913,,
"AUT","Austria","IND-EQUI-RAILTONS-GDP","Rail freight loading capacity per one million units of current USD GDP","2003","2003",2.8745283946691,,
"AUT","Austria","IND-EQUI-RAILTONS-GDP","Rail freight loading capacity per one million units of current USD GDP","2004","2004",2.378742782736,,
"AUT","Austria","IND-EQUI-RAILTONS-GDP","Rail freight loading capacity per one million units of current USD GDP","2005","2005",2.3440718506669,,
"AUT","Austria","IND-EQUI-RAILTONS-GDP","Rail freight loading capacity per one million units of current USD GDP","2006","2006",2.3053998206494,,
"AUT","Austria","IND-EQUI-RAILTONS-GDP","Rail freight loading capacity per one million units of current USD GDP","2008","2008",3.3834774928741,,
"AUT","Austria","IND-EQUI-RAILTONS-GDP","Rail freight loading capacity per one million units of current USD GDP","2009","2009",3.3502868263588,,
"AUT","Austria","IND-EQUI-RAILTONS-GDP","Rail freight loading capacity per one million units of current USD GDP","2010","2010",3.8369041831848,,
"AUT","Austria","IND-EQUI-RAILTONS-GDP","Rail freight loading capacity per one million units of current USD GDP","2011","2011",2.2749586052271,,
"AUT","Austria","IND-EQUI-RAILTONS-GDP","Rail freight loading capacity per one million units of current USD GDP","2012","2012",2.494380728087,,
"AUT","Austria","IND-EQUI-RAILTONS-GDP","Rail freight loading capacity per one million units of current USD GDP","2013","2013",2.3899385354447,,
"AUT","Austria","IND-EQUI-RAILTONS-GDP","Rail freight loading capacity per one million units of current USD GDP","2015","2015",2.7128226935104,,
